song_id,artist_id,artist_name,album_id,album_name,ContentLanguage,IsExplicit,ReleaseDate,isrc,song_name,label,owner,albumArtist,Genre_,year,month,day,song_age,is_duplicate_of_title
196076032,166846,latifa,196076027,aktar mn rouhi,ara,FALSE,10/18/2021,60626111,bahabak badalak,qanawat egypt,qanawat egypt,latifa,"mena, world",2021,10,18,4,FALSE
196076031,166846,latifa,196076027,aktar mn rouhi,ara,FALSE,10/18/2021,aea141802405,aktar mn rouhi,qanawat egypt,qanawat egypt,latifa,"mena, world",2021,10,18,4,FALSE
192406099,44460,majida el roumi,192406091,eaatazalt el gharam,ara,FALSE,10/18/2021,71019150,ghanni lel hob,gn4me,gn4me,majida el roumi,pop,2021,10,18,4,FALSE
192406092,44460,majida el roumi,192406091,eaatazalt el gharam,ara,FALSE,10/18/2021,71019145,ohibbuka jiddan,gn4me,gn4me,majida el roumi,pop,2021,10,18,4,FALSE
192360774,166846,latifa,192360770,maaloumat akida,ara,FALSE,10/18/2021,60626081,hayati,qanawat egypt,qanawat egypt,latifa,"mena, world",2021,10,18,4,FALSE
165122262,3044524,أروى,165122261,شي يزعل - single,ara,FALSE,10/17/2021,QMDA62168234,شي يزعل,arwa,orchard,أروى,genre not found,2021,10,17,4,FALSE
192532513,2333879,ahmed khalil,192532512,alamat,ara,FALSE,10/17/2021,EGA1K2103472,alamat,arpu plus,arpu plus,ahmed khalil,"mena, world",2021,10,17,4,FALSE
192419122,12202,carole samaha,192419115,adwaa' el shohra,ara,FALSE,10/17/2021,79253255,mashghoul baly,i-media,imedia,carole samaha,pop,2021,10,17,4,FALSE
192419118,12202,carole samaha,192419115,adwaa' el shohra,ara,FALSE,10/17/2021,79253249,ya habibi etzakkar,i-media,imedia,carole samaha,pop,2021,10,17,4,FALSE
164874122,2555262,finneas,164874118,optimist,eng,FALSE,10/15/2021,USUG12103244,only a lifetime,"oyoy, inc., under exclusive license to interscope records",universal,finneas,alternative,2021,10,15,4,FALSE
164871875,5339743,"hania rani, dobrawa czocher",164871866,inner symphonies,ara,FALSE,10/15/2021,DEN962130208,malasana,deutsche grammophon (dg),universal,"hania rani, dobrawa czocher",classical,2021,10,15,4,FALSE
166077577,1093623,mohamed hamaki,166077561,ya fatenny,ara,FALSE,10/14/2021,AEA102100055,nadana (bonus track),sony music entertainment,sony,mohamed hamaki,"egyptian pop, maghreb pop",2021,10,14,4,FALSE
192461551,7172612,hassan shakoash,192461549,weyyak,ara,FALSE,10/14/2021,EGA010551075,weyyak,mazzika,mazzika,hassan shakoash,"mena, world",2021,10,14,4,FALSE
165102931,2347,adele,165102930,easy on me,eng,FALSE,10/14/2021,USSM12105970,easy on me,columbia,sony,adele,pop,2021,10,14,4,FALSE
166841538,2347,adele,166841536,30,eng,FALSE,10/14/2021,USSM12105970,easy on me,columbia,sony,adele,"pop music, pop",2021,10,14,4,TRUE
167070739,3759302,hoda bondok,167070738,توت بري,ara,FALSE,10/13/2021,QMDA72162212,توت بري [feat. نعوم],sharqi production,orchard,hoda bondok,world,2021,10,13,4,FALSE
164837118,5749587,"elton john, dua lipa",164837117,cold heart (acoustic),eng,FALSE,10/12/2021,GBUM72107449,cold heart (acoustic),emi,universal,"elton john, dua lipa",pop,2021,10,12,4,FALSE
193561917,4549720,sherine abdel wahab,193561913,el qamas,ara,FALSE,10/12/2021,109166939,el qamas,arpu plus,arpu plus,sherine abdel wahab,pop,2021,10,12,4,FALSE
192359978,144131,warda,192359975,hakollak hagah,ara,FALSE,10/11/2021,60452916,ya nkhltin fi alalali,qanawat egypt,qanawat egypt,warda,"mena, world",2021,10,11,4,FALSE
